,skill,label
0,html,web_tasarim
1, javascript,web_tasarim
2, jquery,web_tasarim
3, github,web_tasarim
4, photoshop illustrator,web_tasarim
5,wordpress,web_tasarim
6, mysql,web_tasarim
7, html,web_tasarim
8, javascript,web_tasarim
9,raporlama,web_tasarim
10, veri analizi,web_tasarim
11,office programlari,web_tasarim
12,ekip calismasi,web_tasarim
13, google analytics,web_tasarim
14,wordpress,web_tasarim
15, mysql,web_tasarim
16, html,web_tasarim
17, digital pazarlama,web_tasarim
18,analitik dusunen,web_tasarim
19, html,web_tasarim
20, angular,web_tasarim
21, jquery,web_tasarim
22, fronted development,web_tasarim
23, bootstrap,web_tasarim
24, react,web_tasarim
25, photoshop,web_tasarim
26,react,web_tasarim
27, javascript,web_tasarim
28,fronted developer,web_tasarim
29, html,web_tasarim
30, javascript,web_tasarim
31, jquery,web_tasarim
32, bootstrap,web_tasarim
33,html,web_tasarim
34, photoshop,web_tasarim
35, iletisimi kuvvetli,web_tasarim
36,veri tabani,web_tasarim
37, core angular,web_tasarim
38, node elasticsearch,web_tasarim
39, scrum,web_tasarim
40,html ,web_tasarim
41, jquery,web_tasarim
42, javascript,web_tasarim
43, bootstrap,web_tasarim
44, smarty twig blade,web_tasarim
45, hosting,web_tasarim
46, photoshop sketch,web_tasarim
47, fronted developer,web_tasarim
48,javascript,web_tasarim
49, jquery,web_tasarim
50, html,web_tasarim
51, mysql,web_tasarim
52, webapi,web_tasarim
53,sketch invision adobe photoshop adobe illustrator,web_tasarim
54, analitik dusunen,web_tasarim
55, birden fazla is yuruten,web_tasarim
56, ekip calismasi,web_tasarim
57,html,web_tasarim
58, react native,web_tasarim
59, mysql,web_tasarim
60, javascript,web_tasarim
61,grafik tasarim,web_tasarim
62,html,web_tasarim
63, javascript,web_tasarim
64, bootstrap,web_tasarim
65, angularjs,web_tasarim
66, grunt gulp,web_tasarim
67,html,web_tasarim
68, jquery,web_tasarim
69, responsive design,web_tasarim
70, ingilizce,web_tasarim
71, ekip calismasi,web_tasarim
72, digital pazarlama,web_tasarim
73, arastirmayi seven,web_tasarim
74, isletim sistemleri,web_tasarim
75, hosting domain yonetimi,web_tasarim
76,raporlam,web_tasarim
77, gorsel gucu yuksek,web_tasarim
78, sosyal medya,web_tasarim
79, html,web_tasarim
80, javascript,web_tasarim
81, mysql,web_tasarim
82, google analytics,web_tasarim
83, responsive mobil tasarim,web_tasarim
84, image editor,web_tasarim
85, html ,web_tasarim
86,javascript ,web_tasarim
87,bootstrap ,web_tasarim
88,jquery ,web_tasarim
89,ticaret sitesi yonetimi,web_tasarim
90, mysql,web_tasarim
91, ajax json,web_tasarim
92,grafik tasarim,web_tasarim
93,  html ,web_tasarim
94,bootstrap,web_tasarim
95, wordpress,web_tasarim
96, mobile responsive,web_tasarim
97, adobe dreamweaver,web_tasarim
98, photoshop illustrator indesign after effects,web_tasarim
99, ekip calismasi,web_tasarim
100, ticaret,web_tasarim
101, ingilizce,web_tasarim
102,sorumluluk sahibi,web_tasarim
103, python django ,web_tasarim
104, linux gentoo ubuntu ,web_tasarim
105, mysql ,web_tasarim
106,postgresql,web_tasarim
107,proxy sunucularina hakimiyet ,web_tasarim
108, github,web_tasarim
109, raporlama,web_tasarim
110,html ,web_tasarim
111,jquery,web_tasarim
112, responsive design,web_tasarim
113, wordpress ,web_tasarim
114, video icerik olusturabilme,web_tasarim
115, isletim sistemleri,web_tasarim
116, gorsel duzenleme,web_tasarim
117, digital pazarlama,web_tasarim
118, tasarim,web_tasarim
119,html ,web_tasarim
120,javascript,web_tasarim
121, ingilizce,web_tasarim
122, site tasarimi,web_tasarim
123, sosyal medya,web_tasarim
124, iletisimi kuvvetli,web_tasarim
125, office programlari,web_tasarim
126,react ,web_tasarim
127,redux,web_tasarim
128, javascript,web_tasarim
129,analitik dusunebilen ,web_tasarim
130, ingilizce,web_tasarim
131, sorumluluk sahibi,web_tasarim
132, kendini gelistiren,web_tasarim
133,fronted developer,web_tasarim
134,angular,web_tasarim
135, javascript,web_tasarim
136, jquery,web_tasarim
137, bootstrap,web_tasarim
138,html,web_tasarim
139, zeplin,web_tasarim
140,tasarim,web_tasarim
141, html,web_tasarim
142, javascript,web_tasarim
143,html,web_tasarim
144, javascript,web_tasarim
145, jquery,web_tasarim
146,ingilizce,web_tasarim
147, veri tabani,web_tasarim
148, sorumluluk sahibi,web_tasarim
149, analitik dusunen,web_tasarim
150,dokumantasyon,web_tasarim
151,  raporlama,web_tasarim
152, full stack developer,web_tasarim
153, nesneye dayali kodlama,web_tasarim
154,microsoft entity framework,web_tasarim
155,  design patterns,web_tasarim
156,html,web_tasarim
157, javascript,web_tasarim
158,  jquery ,web_tasarim
159,angularjs ,web_tasarim
160,ajax,web_tasarim
161,responsive design framework,web_tasarim
162,mysql ,web_tasarim
163,mssql ,web_tasarim
164,mongo,web_tasarim
165,ingilizce,web_tasarim
166,javascript ,web_tasarim
167,html ,web_tasarim
168,bootstrap,web_tasarim
169,google analytics,web_tasarim
170,responsive adaptive tasarim,web_tasarim
171,wordpress,web_tasarim
172, html ,web_tasarim
173,javascript,web_tasarim
174,cpanel plesk hosting ,web_tasarim
175,visual studio ,web_tasarim
176,photoshop coreldraw,web_tasarim
177,grafiksel analiz tasarim ,web_tasarim
178,ingilizce,web_tasarim
179, sorumluluk sahibi,web_tasarim
180, ,web_tasarim
181, veritabani ,web_tasarim
182, html,web_tasarim
183, javascript,web_tasarim
184, jquery,web_tasarim
185, bootstrap,web_tasarim
186,guler yuzlu,web_tasarim
187,bulut ,web_tasarim
188,tsql ,web_tasarim
189,jquery,web_tasarim
190,  yorum satiri yazan,web_tasarim
191,ingilizce,web_tasarim
192,html ,web_tasarim
