skill,label
html,web_tasarim
javascript,web_tasarim
jquery,web_tasarim
github,web_tasarim
photoshop illustrator,web_tasarim
wordpress,web_tasarim
mysql,web_tasarim
html,web_tasarim
javascript,web_tasarim
raporlama,web_tasarim
veri analizi,web_tasarim
office programlari,web_tasarim
ekip calismasi,web_tasarim
google analytics,web_tasarim
wordpress,web_tasarim
mysql,web_tasarim
html,web_tasarim
digital pazarlama,web_tasarim
analitik dusunen,web_tasarim
html,web_tasarim
angular,web_tasarim
jquery,web_tasarim
fronted development,web_tasarim
bootstrap,web_tasarim
react,web_tasarim
photoshop,web_tasarim
react,web_tasarim
javascript,web_tasarim
fronted developer,web_tasarim
html,web_tasarim
javascript,web_tasarim
jquery,web_tasarim
bootstrap,web_tasarim
html,web_tasarim
photoshop,web_tasarim
iletisimi kuvvetli,web_tasarim
veri tabani,web_tasarim
core angular,web_tasarim
node elasticsearch,web_tasarim
scrum,web_tasarim
html,web_tasarim
jquery,web_tasarim
javascript,web_tasarim
bootstrap,web_tasarim
smarty twig blade,web_tasarim
hosting,web_tasarim
photoshop sketch,web_tasarim
fronted developer,web_tasarim
javascript,web_tasarim
jquery,web_tasarim
html,web_tasarim
mysql,web_tasarim
webapi,web_tasarim
sketch invision adobe photoshop adobe illustrator,web_tasarim
analitik dusunen,web_tasarim
birden fazla is yuruten,web_tasarim
ekip calismasi,web_tasarim
html,web_tasarim
react native,web_tasarim
mysql,web_tasarim
javascript,web_tasarim
grafik tasarim,web_tasarim
html,web_tasarim
javascript,web_tasarim
bootstrap,web_tasarim
angularjs,web_tasarim
grunt gulp,web_tasarim
html,web_tasarim
jquery,web_tasarim
responsive design,web_tasarim
ingilizce,web_tasarim
ekip calismasi,web_tasarim
digital pazarlama,web_tasarim
arastirmayi seven,web_tasarim
isletim sistemleri,web_tasarim
hosting domain yonetimi,web_tasarim
raporlam,web_tasarim
gorsel gucu yuksek,web_tasarim
sosyal medya,web_tasarim
html,web_tasarim
javascript,web_tasarim
mysql,web_tasarim
google analytics,web_tasarim
responsive mobil tasarim,web_tasarim
image editor,web_tasarim
html,web_tasarim
javascript,web_tasarim
bootstrap,web_tasarim
jquery,web_tasarim
