,skill,label,ilan_no
0,html,web_tasarim,0
1, javascript,web_tasarim,0
2, jquery,web_tasarim,0
3, github,web_tasarim,0
4, photoshop illustrator,web_tasarim,0
5,wordpress,web_tasarim,1
6, mysql,web_tasarim,1
7, html,web_tasarim,1
8, javascript,web_tasarim,1
9,raporlama,web_tasarim,2
10, veri analizi,web_tasarim,2
11,office programlari,web_tasarim,2
12,ekip calismasi,web_tasarim,2
13, google analytics,web_tasarim,2
14,wordpress,web_tasarim,3
15, mysql,web_tasarim,3
16, html,web_tasarim,3
17, digital pazarlama,web_tasarim,3
18,analitik dusunen,web_tasarim,4
19, html,web_tasarim,4
20, angular,web_tasarim,4
21, jquery,web_tasarim,4
22, fronted development,web_tasarim,4
23, bootstrap,web_tasarim,4
24, react,web_tasarim,4
25, photoshop,web_tasarim,4
26,react,web_tasarim,5
27, javascript,web_tasarim,5
28,fronted developer,web_tasarim,6
29, html,web_tasarim,6
30, javascript,web_tasarim,6
31, jquery,web_tasarim,6
32, bootstrap,web_tasarim,6
33,html,web_tasarim,7
34, photoshop,web_tasarim,7
35, iletisimi kuvvetli,web_tasarim,7
36,veri tabani,web_tasarim,8
37, core angular,web_tasarim,8
38, node elasticsearch,web_tasarim,8
39, scrum,web_tasarim,8
40,html ,web_tasarim,9
41, jquery,web_tasarim,9
42, javascript,web_tasarim,9
43, bootstrap,web_tasarim,9
44, smarty twig blade,web_tasarim,9
45, hosting,web_tasarim,9
46, photoshop sketch,web_tasarim,9
47, fronted developer,web_tasarim,9
48,javascript,web_tasarim,10
49, jquery,web_tasarim,10
50, html,web_tasarim,10
51, mysql,web_tasarim,10
52, webapi,web_tasarim,10
53,sketch invision adobe photoshop adobe illustrator,web_tasarim,11
54, analitik dusunen,web_tasarim,11
55, birden fazla is yuruten,web_tasarim,11
56, ekip calismasi,web_tasarim,11
57,html,web_tasarim,12
58, react native,web_tasarim,12
59, mysql,web_tasarim,12
60, javascript,web_tasarim,12
61,grafik tasarim,web_tasarim,13
62,html,web_tasarim,14
63, javascript,web_tasarim,14
64, bootstrap,web_tasarim,14
65, angularjs,web_tasarim,14
66, grunt gulp,web_tasarim,14
67,html,web_tasarim,15
68, jquery,web_tasarim,15
69, responsive design,web_tasarim,15
